X,Y,OBJECTID,PARK_NAME,DPP_ASSET_ID,PROGRAM_TYPE,SITE_CLASS,BUILDING,GYM,LABEL_NUMBER,COMMENTS,DATA_SOURCE,Staff FT (program and maintenance),Staff PT
-75.17875813,39.915938,14,Commodore John Barry Playground,262,PPR_REC,B,Y,N,11, ,Programs 9/2021,1,1
-75.24019174,39.92613768,17,John J McCreesh Sr Playground,508,PPR_REC,B,Y,N,86, ,Programs 9/2021,1,1
-75.15948203,39.93400587,22,Dr Nicola Capitolo Playground,501,PPR_REC,B,Y,N,15, ,Programs 9/2021,1,1
-75.174181,39.93816825,24,Charles H Chew Jr Playground,268,PPR_REC,B,Y,N,21, ,Programs 9/2021,1,1
-75.20980829,39.94195648,26,48th and Woodland Playground,1804,PPR_REC,B,Y,N,2, ,Programs 9/2021,1,1
-75.21581737,39.96598037,31,Mill Creek Playground and Recreation Center,1911,PPR_REC,B,Y,N,91, ,Programs 9/2021,1,1
-75.19562178,39.96747897,33,Miles Mack Playground,1910,PPR_REC,B,Y,N,90, ,Programs 9/2021,1,1
-75.25039597,39.96935865,34,William T Granahan Playground,1864,PPR_REC,B,Y,N,50,Located within Cobbs Creek Park,Programs 9/2021,1,1
-75.16712929,39.96849538,35,Francisville Recreation Center,1859,PPR_REC,B,Y,N,45, ,Programs 9/2021,1,1
-75.25630045,39.97445813,37,Charles A Papa Playground,1929,PPR_REC,B,Y,N,105,Located in Morris Park.,Programs 9/2021,1,1
-75.14534802,39.97323548,39,Narcissa S Cruz Recreation Center,908,PPR_REC,B,Y,N,30,Two Programmable Buildings on site.,Programs 9/2021,1,1
-75.24070891,39.98186735,42,Ernest L Tustin Recreation Center,1965,PPR_REC,B,Y,N,137, ,Programs 9/2021,1,1
-75.22658553,39.98326167,44,Parkside Evans Recreation Center,1930,PPR_REC,B,Y,N,106,Located within West Fairmount Park.,Programs 9/2021,1,1
-75.16029959,39.98171659,45,Fletcher B Amos Playground,1809,PPR_REC,B,Y,N,5, ,Programs 9/2021,1,1
-75.1184313,39.98101037,46,Frederick Cione Playground,1830,PPR_REC,B,Y,N,24, ,Programs 9/2021,1,1
-75.14745045,39.98323717,48,8th and Diamond Playground,1805,PPR_REC,B,Y,N,3, ,Programs 9/2021,1,1
-75.14978668,39.99681664,53,12th and Cambria Playground,1800,PPR_REC,B,Y,N,1, ,Programs 9/2021,1,1
-75.16578241,40.00214183,58,Vincent G Panati Playground,1928,PPR_REC,B,Y,N,104, ,Programs 9/2021,1,1
-75.1292342,40.0018467,59,John (Steve) Schmidt Playground,1978,PPR_REC,B,Y,N,121, ,Programs 9/2021,1,1
-75.16140023,40.0062418,61,Jerome Brown Playground,1880,PPR_REC,B,Y,N,68, ,Programs 9/2021,1,1
-75.07311198,40.01112118,63,Carmella A DiTizio Playground,1823,PPR_REC,B,Y,N,16, ,Programs 9/2021,1,1
-75.09687267,40.01279776,64,Boniface Piccoli Playground,1935,PPR_REC,B,Y,N,110, ,Programs 9/2021,1,1
-75.05427955,40.0184248,66,American Legion Playground,1808,PPR_REC,B,Y,N,4, ,Programs 9/2021,1,1
-75.15231546,40.02449835,70,Stenton Park,1958,PPR_REC,B,Y,N,131, ,Programs 9/2021,1,1
-75.06126381,40.02938936,76,Lower Mayfair Playground,1898,PPR_REC,B,Y,N,78, ,Programs 9/2021,1,1
-75.03342486,40.03006659,81,Charles A Russo Playground,1946,PPR_REC,B,Y,N,116, ,Programs 9/2021,1,1
-75.11808114,40.03411018,82,Charles J Ziehler Playground,1976,PPR_REC,B,Y,N,149, ,Programs 9/2021,1,1
-75.13680121,40.03830509,84,A Albert Cherashore Playground,1828,PPR_REC,B,Y,N,20, ,Programs 9/2021,1,1
-75.02714042,40.03610125,85,Holmesburg Recreation Center,1873,PPR_REC,B,Y,N,61, ,Programs 9/2021,1,1
-75.17968609,40.04773278,93,Daniel E Rumph II Recreation Center,1945,PPR_REC,B,Y,Y,79, ,Programs 9/2021,1,1
-75.12381393,40.04910704,94,Helen G Sturgis Playground,1960,PPR_REC,B,Y,N,133, ,Programs 9/2021,1,1
-75.14636289,40.05054228,95,Morris Estate Cultural Center,1914,PPR_REC,B,Y,N,94, ,Programs 9/2021,1,1
